"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26597","4.6 facebook","chromium","Thu Oct 17 03:00:20 ICT 2024","passed","Thu Oct 17 03:00:47 ICT 2024","","example.spec.js","",""
"","15476","4.1 ประกาศรับสมัครนักศึกษา","chromium","Thu Oct 17 02:59:58 ICT 2024","passed","Thu Oct 17 03:00:13 ICT 2024","","example.spec.js","",""
"","7532","8. สามารถ logout ได้","chromium","Thu Oct 17 03:00:32 ICT 2024","passed","Thu Oct 17 03:00:40 ICT 2024","","example.spec.js","",""
"","8225","2. สมัครเรียน ภาคเรียนที่ 2 ปีการศึกษา 2567","chromium","Thu Oct 17 03:00:41 ICT 2024","passed","Thu Oct 17 03:00:50 ICT 2024","","example.spec.js","",""
"","9783","7. แจ้งยืนยันการชำระเงิน","chromium","Thu Oct 17 03:00:32 ICT 2024","passed","Thu Oct 17 03:00:42 ICT 2024","","example.spec.js","",""
"","13048","4.4 แผนที่มหาลัย","chromium","Thu Oct 17 03:00:16 ICT 2024","passed","Thu Oct 17 03:00:29 ICT 2024","","example.spec.js","",""
"","9167","1. สมัครเรียน ปีการศึกษา 2568","chromium","Thu Oct 17 03:00:40 ICT 2024","passed","Thu Oct 17 03:00:49 ICT 2024","","example.spec.js","",""
"","5369","4.3 แจ้งชำระเงิน","chromium","Thu Oct 17 03:00:11 ICT 2024","passed","Thu Oct 17 03:00:17 ICT 2024","","example.spec.js","",""
"","14021","6. ขึ้นทะเบียนนักศึกษา","chromium","Thu Oct 17 03:00:25 ICT 2024","passed","Thu Oct 17 03:00:39 ICT 2024","","example.spec.js","",""
"","10397","3.3 ตรวจสอบภาพ QRcode","chromium","Thu Oct 17 02:59:42 ICT 2024","passed","Thu Oct 17 02:59:53 ICT 2024","","example.spec.js","",""
"","7003","5. ดูรายละเอียดสมัครเรียนออนไลน์","chromium","Thu Oct 17 03:00:24 ICT 2024","passed","Thu Oct 17 03:00:31 ICT 2024","","example.spec.js","",""
"","4744","4.5 ติดต่อเรา","chromium","Thu Oct 17 03:00:17 ICT 2024","passed","Thu Oct 17 03:00:22 ICT 2024","","example.spec.js","",""
"","6602","3.1 ตรวจสอบลิ้งค์หน้าแรก","chromium","Thu Oct 17 02:59:42 ICT 2024","passed","Thu Oct 17 02:59:49 ICT 2024","","example.spec.js","",""
"","28656","3.2 ตรวจสอบลิ้งค์ คู่มือการสมัครเรียน","chromium","Thu Oct 17 02:59:42 ICT 2024","passed","Thu Oct 17 03:00:11 ICT 2024","","example.spec.js","",""
"","14317","4.2 ค่าใช้จ่าย","chromium","Thu Oct 17 03:00:07 ICT 2024","passed","Thu Oct 17 03:00:22 ICT 2024","","example.spec.js","",""
"","17144","3.5 ตรวจสอบลิ้งค์ขัั้นตอนการลงทะเบียนนักศึกษา","chromium","Thu Oct 17 02:59:50 ICT 2024","passed","Thu Oct 17 03:00:07 ICT 2024","","example.spec.js","",""
"","17743","3.4 ตรวจสอบลิงค์ line","chromium","Thu Oct 17 02:59:44 ICT 2024","passed","Thu Oct 17 03:00:02 ICT 2024","","example.spec.js","",""
